Abu Dhabi (UAE), 18
Afghanistan, Illegal	
Albania, 18	
Alberta (Canada), 18
Algeria, 18	
American Samoa,	21	
Angola, 18	
Anguilla, 16	
Antigua, 16
Argentina, 18	
Armenia, None
Australia, 18
Azerbaijan,	18	
Bahamas, 18	
Bangladesh,	Illegal
Barbados, 18 (10 with a parent or guardian)
Barbuda, 16
Belarus, 18	
Belgium, 16 (for beer and wine) 18 (for spirits)
Belize,	18
Bermuda, 18	
Bhutan,	18	
Bihar (India), Illegal
Bolivia, 18	
Bosnia, 18
Botswana, 18	
Brazil,	18	
British Columbia (Canada), 19
British Virgin Islands,	16
Brunei,	17 (with restrictions: not to exceed maximum total volume 2 liters of liquor or 12 cans of beer at 330 ml for personal use, once in 48 hours. This alcohol must be “stored and consumed at the place of residence of the importer.”)
Bulgaria, 18	
Burgenland (Austria), 16
Burundi, 16 (No limit if accompanied by parents)
Caicos Islands, 18	
Cambodia, None	
Cameroon, 21 (18 in a bar)
Cape Verde, 18	
Carinthia (Austria), 18
Cayman Islands,	18	
Central African Republic, 18	
Chile, 18
China, 18
Colombia, 18	
Comoros, None	
Costa Rica, 18	
Croatia, 18	
Cuba, 16	
Cyprus,	17	
Czech Republic,	18
Denmark, 18 (By tradition, youths are privately allowed to drink alcohol after their confirmation.)
Dominican Republic,	18	
Dubai (UAE), 21
Ecuador, 18	
Egypt, 21	
El Salvador, 18	
England, 18
Equatorial Guinea, None	
Eritrea, 18	
Estonia, 18	
Ethiopia, 18	
Falkland Islands, 18	
Fiji, 18
Finland, 18
France, 18
Gabon, 18	
Gambia, 18	
Georgia, None	
Germany, 16
Ghana, 18	
Gibraltar, 16
Grenada, 16	
Guam, 21	
Guatemala, 18	
Guinea-Bissau, None	
Gujarat (India), Illegal
Guyana, 18 (16 for wine or malt liquor consumed with a meal)
Haiti, None	
Herzegovina, 18	
Honduras, 18	
Hong Kong, 18 in restaurants, bars and clubs, where a liquor license is required. Private drinking is not regulated.
Hungary, 18	
Iceland, 20
India, 18–25	
Indonesia, None
Iran, Illegal
Iraq, 18	
Ireland (Northern), 18
Ireland, None (on private residence, with parents/guardians permission), 18 (in bars)
Israel,	None (Israel law prohibits selling or serving alcohol to minors, but it does not prohibit minors to drink.)
Italy, 18
Jamaica, 18
Japan, 20	
Jordan,	18	
Kazakhstan,	21	
Kenya, 18	
Kosovo,	None	
Kuwait,	Illegal	
Kyrgyzstan,	18	
Labrador (Canada), 19
Latvia,	None	
Lebanon, 18
Lesotho, 18	
Libya, Illegal	
Liechtenstein, 16 (for wine, beer and cider) 18 (for spirits and spirit-based beverages)
Lithuania, 18
Lower Austria, 16
Luxembourg,	None
Macau, None	
Macedonia, 18
Malawi, 18	
Malaysia, 18 (Will be increased to 21 on 1 December 2017)
Maldives, Illegal (except for tourists above the age of 18)
Malta, 17
Manipur (India), Illegal
Manitoba (Canada), 18
Mauritius, 18	
Mexico,	18
Micronesia, 21
Moldova, None
Mongolia, 18	
Montenegro,	None	
Morocco, 18
Mozambique, 18	
Myanmar, None
Nagaland (India), Illegal
Namibia, 18	
Nepal, 18
Netherlands, 18
New Brunswick (Canada), 19
Newfoundland (Canada), 19
New Zealand, 18
Nicaragua, 18	
Niger, 18	
Nigeria, 18	
Northern Emirates (UAE), 21 
Northern Mariana Islands, 21	
North Korea, 18	
Northwest Territories (Canada), 19
Norway,	18 (<22% abv) 20 (>22% ABV)
Nova Scotia (Canada), 19
Nunavut (Canada), 19
Oman, 21
Ontario (Canada), 19
Pakistan, Illegal
Palau, 21	
Palestinian Authority, 16
Panama,	18	
Papua New Guinea, 18	
Paraguay, 20	
Peru, 18	
Philippines, 18	
Poland,	18
Portugal, None
Prince Edward Island (Canada), 19
Puerto Rico, 18
Qatar, 19
Quebec (Canada), 18
Republic of the Congo, 18	
Romania, 18
Russia, 18
Rwanda, 18	
Salzburg (Austria), 18
Samoa, 21	
Saskatchewan (Canada), 19
Saudi Arabia, Illegal
Scotland, 18
Senegal, None	
Serbia,	18	
Seychelles, 18	
Sharjah (UAE), Illegal
Singapore, None
Slovakia, 18	
Slovenia, None
Solomon Islands, 21	
Somalia, Illegal	
South Africa, 18
South Korea, None
South Sudan, 18	
Spain, 18
Sri Lanka, 21	
Styria (Austria), 18
Sudan, Illegal	
Swaziland, 18	
Sweden, 18
Switzerland, 18
Syria, 18	
Taiwan,	18	
Tajikistan,	18	
Tanzania, 18	
Thailand, 20
Tobago,	18	
Togo, None	
Tokelau, 18	
Tonga, 21	
Trinidad, 18
Tunisia, 18	
Turkey,	18
Turkmenistan, 18	
Turks Island, 18
Tyrol (Austria), 18
Uganda, 18	
Ukraine, 18
United Kingdom,	18
United States, 21
United States Virgin Islands, 18	
Upper Austria, 18
Uruguay, 18	
Uzbekistan, None
Vanuatu, 18
Venezuela, 18
Vienna (Austria), 16
Vietnam, None	
Vorarlberg (Austria), 18
Wales, 18
Western Sahara, 16	
Yemen, Illegal
Yukon (Canada), 19
Zambia, 18	
Zimbabwe, 18
